123I IODE IOBENGUANE 
123I IODE IOFUPANE 
123I SODIUM IODURE SOL INJ 
123L IODE IOFLUPANE 
131I SODIUM IODURE GELULE 
131I SODIUM IODURE GELULE 
131I SODIUM IODURE GELULE 
131I SODIUM IODURE GELULE 
131I SODIUM IODURE SOL BUV 
18 F FLUDESOXYGLUCOSE 
18 FLT 
18F FLUDESOXYGLUCOSE 
3.4 DIAMINOPYRIDINE 
3.4 DIAMINOPYRIDINE 
3.4 DIAMINOPYRIDINE 
3.4 DIAMINOPYRIDINE 
51CR CHROME EDETATE 
51CR SODIUM CHROMATE 
57CO COBALT CYANOBALAMINE 
5-AMINOLEVULINIQUE EMPLATRE MEDI 
68 GA / 
6-FLUORO-(18F)-L-DOPA 
6-IODOMETHYLNORCHOLESTEROL SOL INJ 
99MTC TECHNETIUM DEPREOTIDE 
A 
A 
A 
A 
A 
A 
A T S SOL FL 
ABACAVIR 
ABACAVIR 
ABACAVIR 
ABACAVIR/LAMIVUDINE/ZIDOVUDINE CPR 
ABATACEPT 
ABATACEPT 
ABATACEPT 
ABBOTICINE 
ABBOTICINE 
ABBOTICINE 
ABBOTICINE 
ABBOTICINE 
ABCIXIMAB 
ABCYS PDR ET SOL AURICULAIRE NSFP 
ABDOSCAN 
ABDOSCAN 
ABELCET 
ABELCET 
ABELITE PDR SUSP BUV NSFP 
ABELITE SUSP BUV NC 
ABEREL 
ABEREL 
ABEREL 
ABEREL 
ABEREL 
ABEREL 
ABI 
ABI 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY 
ABILIFY MAINTENA LP 
ABILIFY MAINTENA LP 
ABIOCINE 
ABIOCINE 
ABIOSAN 
ABIRATERONE 
ABIRATERONE JAC 
ABLAVAR 
ABRAXANE 
ABSEAMED 
ABSEAMED 
ABSEAMED 
ABSEAMED 
ABSEAMED 
ABSEAMED 
ABSEAMED 
ABSEAMED 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABSTRAL 
ABUFENE 
ABUFENE 
ABUFENE 
ABUFENE 
AC ACETYLSALICYLIQUE  
AC ACETYLSALICYLIQUE  
AC ACETYLSALICYLIQUE  
AC AMINE + VIT + ELECTROLYTE SOL INJ 
AC AMINES AMINOVEN  
